,id,age.cat,age.reps,methylation,meth_adjust,kay.code,darting.date,sex,reproductive.status,mass,glucose.green,glucose.red,pcv,wbc,rbc,total.solids,first.seen,den.grad,disappeared,mom,birthdate,number.littermates,litrank,mortality.source,death.date,weaned,clan,park,mom.absrank,mom.strank,mom.strank.quart,mom.strank.quart.order,hum.pres,lit.size,age.mon,rank_year,samp_year,dna_extrct_mth,absrank,strank,strank.quart,strank.quart.order,prim.prey.3.6,prim.prey.6.9,prim.prey.birth.3,prim.prey.gest,prim.prey.peri.concpt,num.transects.3.6,num.transects.6.9,num.transects.birth.3,num.transects.gest,num.transects.peri.concpt,samp_year_cnt
304,wnd,adult,1,73.89135277,73.87225824,446,6/17/00,f,lactating,NA,67,65,40.5,18925,6010000,6.8,5/9/01,NA,5/27/06,NA,NA,NA,NA,lions,5/27/06,NA,mara.river,NA,NA,NA,NA,NA,low,NA,44,NA,2000,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.25625
310,yaz,subadult,1,78.33793128,78.35280235,821,6/15/10,m,bado,44,69,61,37.6,NA,NA,6.8,6/3/09,6/24/09,11/21/11,aqua,12/1/08,0,NA,NA,NA,12/20/09,talek,tk,NA,NA,NA,NA,med,single,18.4,2008,2010,old,NA,NA,NA,NA,NA,-0.205045077,-1.077545074,0.061162556,0.399442799,NA,13,10,13,18,3.74375
320,zoey,adult,4,76.34638642,76.34552707,1005,8/23/12,f,lactating,59.5,93.5,86.5,34.3995,NA,NA,NA,6/27/08,NA,3/26/13,digs,NA,NA,NA,NA,NA,NA,serena.n,tr,NA,NA,NA,NA,low,NA,NA,NA,2012,old,2,0.888888889,Q4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74375
9,alls,subadult,1,76.02867007,76.05494479,673,2/28/13,f,bado,29,54,NA,43,NA,NA,NA,1/6/12,7/4/12,5/4/13,hex,11/16/11,1,1,NA,NA,9/23/12,talek,NA,30,-0.757575758,Q1 (lowest),1,hi,twin,15.4,2011,2013,old,NA,NA,NA,NA,-0.626618591,-0.252790894,0.293506821,-0.387506002,0.111336501,14,18,18,13,14,6.74375
13,ani,subadult,1,74.40947996,74.41041929,316,5/11/01,f,bado,36.12,46,46,36.5,17125,9510000,7.2,12/5/99,7/3/00,5/11/01,bail,11/17/99,1,1,NA,NA,8/28/00,talek,tk,17,-0.454545455,Q1 (lowest),1,low,twin,17.8,1999,2001,old,NA,NA,NA,NA,-0.294831799,1.160957949,-0.748892501,-0.883718131,0.849174166,12,12,12,12,12,-5.25625
15,arg,adult,1,71.577803,71.58508928,780,12/8/08,f,bado,60.8,56,58,36.8,NA,NA,7.2,12/21/05,9/9/06,4/2/14,yog,11/25/05,0,NA,humans (poison - april 2014),4/3/14,8/13/06,talek,NA,12,-0.375,Q1 (lowest),1,med,single,36.4,2005,2008,old,14,-0.625,Q1 (lowest),1,-0.266381766,-0.138232977,-1.238747287,-0.827711039,-0.566646806,18,15,20,15,12,1.74375
16,arlo,cub,1,67.10265106,67.11954195,354,11/13/01,m,bado,26,NA,NA,36,21200,4795000,6.8,1/14/01,8/18/01,11/13/01,bail,12/1/00,0,NA,NA,NA,NA,talek,tk,20,-0.583333333,Q1 (lowest),1,med,single,11.4,2000,2001,old,NA,NA,NA,NA,1.131265211,0.460741277,0.097731524,-0.450290465,1.202443006,14,14,12,14,14,-5.25625
23,avce,subadult,1,79.17708557,79.17191927,611,5/31/11,f,bado,34,NA,69,26.19,NA,NA,6.8,6/4/10,1/10/11,5/27/13,arg,2/26/10,1,2,NA,NA,1/25/11,talek,tk,23,-0.62962963,Q1 (lowest),1,hi,twin,15.1,2010,2011,old,NA,NA,NA,NA,1.640510697,0.323569329,1.429524223,-0.32277925,-1.020862674,17,21,15,21,12,4.74375
27,baez,adult,1,76.34151371,76.3434398,763,5/19/12,f,pregnant?,55.2,55,56,37.89,NA,NA,6.9,2/13/05,7/2/05,NA,bail,10/16/04,1,1,NA,NA,8/5/05,talek,NA,16,-1,Q1 (lowest),1,med,twin,91.1,2004,2012,old,36,-0.707317073,Q2,2,-1.416575978,-1.229468146,-1.054382298,-0.749973385,-1.291854652,14,11,14,14,12,5.74375
28,baez,subadult,2,72.4171951,72.41989892,763,3/18/06,f,bado,34.4,61,52,36.875,NA,NA,6.65,2/13/05,7/2/05,NA,bail,10/16/04,1,1,NA,NA,8/5/05,talek,NA,16,-1,Q1 (lowest),1,med,twin,17,2004,2006,old,16,-0.875,Q2,2,-1.416575978,-1.229468146,-1.054382298,-0.749973385,-1.291854652,14,11,14,14,12,-0.25625
33,bass,cub,1,75.20829745,75.21087549,319,6/23/01,f,bado,17.66,64,57,37.3,13700,5465000,7,7/26/00,3/18/01,6/22/01,amar,6/25/00,1,1,NA,NA,NA,talek,tk,19,-0.5,Q1 (lowest),1,med,twin,11.9,2000,2001,old,NA,NA,NA,NA,-0.646736829,-0.231962182,-0.748892501,1.505144528,-0.286685826,10,12,12,12,12,-5.25625
34,bata,subadult,1,76.73770466,76.76773291,665,6/2/13,m,bado,37.8,63,NA,37.1,NA,NA,NA,1/6/12,6/29/12,12/20/13,hex,11/16/11,1,2,NA,NA,9/23/12,talek,NA,30,-0.757575758,Q1 (lowest),1,hi,twin,18.5,2011,2013,old,NA,NA,NA,NA,-0.626618591,-0.252790894,0.293506821,-0.387506002,0.111336501,14,18,18,13,14,6.74375
39,birk,cub,1,76.50513549,76.52231516,547,6/30/14,m,bado,33.4,78,80,41.86,NA,NA,NA,8/23/13,4/23/14,2/1/16,hex,7/21/13,1,NA,NA,NA,NA,talek,tk,37,-0.75,Q1 (lowest),1,hi,NA,11.3,2013,2014,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74375
41,bm,adult,1,77.0054391,76.9941785,221,7/27/97,f,"lactating, no milk expressed",49.8,69,72,NA,NA,NA,NA,8/1/89,4/16/90,10/11/00,23s,7/17/89,1,2,NA,NA,8/25/90,talek,tk,17,-0.6,Q1 (lowest),1,low,twin,96.3,1989,1997,old,22,-0.68,Q2,2,-0.986660018,-0.309549135,-0.14594624,-0.354578148,-0.079117503,12,12,12,12,12,-9.25625
51,bsl,subadult,1,77.1972763,77.19962462,750,11/6/04,f,bado,41.2,63,68,36,NA,NA,7.4,7/28/03,12/14/03,7/19/06,whh,2/20/03,NA,NA,NA,NA,1/27/04,talek,NA,13,-0.846153846,Q1 (lowest),1,med,NA,20.5,2003,2004,old,NA,NA,NA,NA,-1.297695481,0.19242283,-1.196416086,-0.657443587,-0.78959056,12,12,12,9,12,-2.25625
58,cart,subadult,1,76.58615443,76.55333109,357,6/25/07,f,bado,40.4,64,62,21.4,NA,NA,7.8,1/30/06,9/14/06,NA,nav,12/7/05,0,NA,NA,NA,11/12/06,talek,NA,15,-0.75,Q1 (lowest),1,med,single,18.6,2005,2007,old,NA,NA,NA,NA,-0.1651653,-0.159061689,-1.221877288,-0.917410761,-0.476858229,18,15,20,15,13,0.74375
63,chad,cub,1,75.64914741,75.65853124,348,9/4/01,m,bado,20.2,68,65,33.8,20750,5790000,6.2,5/20/01,7/24/01,9/9/01,cr,12/24/00,1,2,NA,NA,NA,talek,tk,21,NA,Q1 (lowest),NA,med,twin,8.3,2000,2001,old,NA,NA,NA,NA,1.385087969,0.27313409,0.027439861,-0.516855108,-0.812653707,12,12,12,10,12,-5.25625
64,chco,subadult,1,77.62252074,77.56296527,694,1/20/15,f,bado,48.4,56,58,38.2,NA,NA,NA,2/12/13,12/26/13,NA,ffl,1/22/13,NA,NA,NA,NA,11/17/13,talek,tk,28,-0.35,Q1 (lowest),1,hi,NA,23.9,2013,2015,old,NA,NA,NA,NA,NA,NA,NA,-0.061838909,0.545349236,NA,NA,NA,12,16,8.74375
67,chob,subadult,1,78.75356838,78.74605377,328,6/19/01,m,bado,33.68,69,72,35.21,17200,6600000,7.5,12/30/99,3/29/01,9/21/02,par,11/30/99,0,NA,NA,NA,3/11/00,talek,tk,20,-0.727272727,Q1 (lowest),1,low,single,18.6,1999,2001,old,NA,NA,NA,NA,-0.294831799,1.160957949,-0.748892501,-0.883718131,0.849174166,12,12,12,12,12,-5.25625
75,cnti,subadult,1,76.33740504,76.34257134,714,7/11/03,f,bado,26.8,72,78,34.2,NA,NA,6.5,6/18/02,4/9/03,5/30/11,hml,5/15/02,1,NA,NA,NA,8/14/03,talek,tk,10,-0.5,Q1 (lowest),1,med,NA,13.9,2002,2003,old,NA,NA,NA,NA,-1.000142521,-0.512581741,-0.318662897,-0.051660105,-0.402642204,14,11,14,14,10,-3.25625
96,dk,adult,1,75.57118636,75.59622547,544,6/26/14,f,lactating,66,48,80,36.58,NA,NA,NA,4/10/12,NA,NA,cart,3/10/11,1,NA,NA,NA,NA,talek,NA,34,-1,Q1 (lowest),1,hi,NA,39.6,2011,2014,old,NA,NA,NA,NA,0.730025947,-0.28856727,-0.545827698,-0.346661301,0.533977823,10,17,18,9,18,7.74375
112,foz,adult,1,76.97523861,76.98515266,265,5/12/01,m,bado,45.86,52,54,32.79,18000,8715000,7.2,3/23/98,10/21/98,4/12/11,hob,12/15/97,1,NA,lions,4/11/11,1/11/99,talek,tk,23,-0.76,Q1 (lowest),1,low,NA,40.9,1997,2001,old,NA,NA,NA,NA,-0.471440853,2.795491142,-0.013954118,-0.44239992,0.426990447,10,12,12,12,12,-5.25625
116,gdfi,subadult,1,76.375244,76.36894212,697,12/31/13,m,bado,38.2,42,61,37.07,NA,NA,NA,1/20/13,7/28/13,NA,roos,11/25/12,NA,NA,NA,NA,10/12/13,talek,tk,40,-0.902439024,Q1 (lowest),1,hi,NA,13.2,2012,2013,old,NA,NA,NA,NA,NA,NA,-0.395872151,-0.004211625,0.214754581,NA,NA,6,18,21,6.74375
123,gol,adult,1,76.32302972,76.27423381,89,9/26/00,f,pregnant,70.3,73,69,36.3,17575,4430000,9,7/20/91,4/7/92,3/15/01,es,7/20/91,1,1,humans (speared),3/14/01,10/1/92,talek,tk,17,-0.777777778,Q1 (lowest),1,low,twin,110.2,1991,2000,old,22,-0.75,Q2,2,-0.391671336,-0.458474427,1.21927405,-0.662230518,-0.676517076,12,12,12,12,8,-6.25625
124,gonz,cub,1,69.06256097,69.10084663,206,6/9/97,m,bado,22.5,NA,NA,NA,NA,NA,NA,10/3/96,5/13/97,3/20/99,hob,9/6/96,0,NA,NA,NA,9/15/97,talek,tk,25,-0.777777778,Q1 (lowest),1,low,single,9.1,1996,1997,old,NA,NA,NA,NA,-0.066684415,-0.020030035,0.823297685,5.178193472,0.918876122,12,12,12,12,10,-9.25625
130,gui,subadult,1,76.84060421,76.81788036,308,7/12/00,f,bado,36.8,64,67,32,18725,5615000,7,2/17/99,10/28/99,2/16/03,amar,2/12/99,1,1,humans,2/14/03,2/22/00,talek,tk,16,-0.363636364,Q1 (lowest),1,low,twin,17,1999,2000,old,NA,NA,NA,NA,0.308363623,-0.311111288,-0.351354098,-0.354578148,5.181842597,12,12,12,12,12,-6.25625
136,hex,adult,4,76.04019959,76.03897851,727,12/11/08,f,lactating,54.575,66.5,66,33.0675,NA,NA,7.025,4/24/03,11/7/03,4/13/16,bail,3/4/03,NA,NA,NA,NA,1/17/04,talek,NA,14,-1,Q1 (lowest),1,med,NA,69.3,2003,2010,old,28,-1,Q2,2,-0.467173348,-0.314756313,-1.283109136,-0.704576446,-0.719119833,12,12,12,9,12,3.74375
139,hob,cub,1,69.47061164,69.45290264,76,6/14/92,f,bado,19.8,NA,NA,NA,NA,NA,NA,7/20/91,4/7/92,5/6/99,es,7/20/91,1,2,NA,NA,10/1/92,talek,tk,17,-0.777777778,Q1 (lowest),1,low,twin,10.8,1991,1992,old,NA,NA,NA,NA,-0.391671336,-0.458474427,1.21927405,-0.662230518,-0.676517076,12,12,12,12,8,-14.25625
144,hrp,cub,1,77.27004396,77.28505809,331,6/5/01,f,bado,18.38,68,66,36.6,16075,5280000,6.8,7/23/00,3/18/01,1/6/06,amar,6/25/00,1,2,NA,NA,7/15/01,talek,tk,19,-0.5,Q1 (lowest),1,med,twin,11.3,2000,2001,old,NA,NA,NA,NA,-0.646736829,-0.231962182,-0.748892501,1.505144528,-0.286685826,10,12,12,12,12,-5.25625
150,jas,subadult,1,77.01991611,76.97754224,311,7/30/00,m,bado,33.4,63,62,35.5,11900,8800000,7.6,5/22/99,12/3/99,1/9/02,gol,4/17/99,1,1,NA,NA,7/9/00,talek,tk,19,-0.636363636,Q1 (lowest),1,low,twin,15.4,1999,2000,old,NA,NA,NA,NA,0.081857587,-0.862030727,0.208636147,-0.386061425,0.166248756,12,12,12,12,12,-6.25625
152,jc,subadult,1,77.62392498,77.60657037,791,3/26/06,m,bado,35.8,62,49,40,NA,NA,6.8,3/27/05,7/2/05,5/24/08,bail,10/16/04,1,2,NA,NA,7/30/05,talek,NA,16,-1,Q1 (lowest),1,med,twin,17.3,2004,2006,old,NA,NA,NA,NA,-1.416575978,-1.229468146,-1.054382298,-0.749973385,-1.291854652,14,11,14,14,12,-0.25625
153,jeff,adult,1,76.74931066,76.74273537,506,7/16/09,m,bado,50.8,65,67,37.32,NA,NA,6.7,10/13/07,NA,3/5/11,nav,3/2/07,NA,NA,NA,NA,7/24/08,talek,NA,15,-0.647058824,Q1 (lowest),1,med,NA,28.5,2007,2009,old,NA,NA,NA,NA,0.611278732,0.177113727,0.116049957,-0.288187098,-1.079839512,19,15,22,10,17,2.74375
157,jord,subadult,1,72.42151733,72.44483932,804,10/23/09,m,bado,30.6,63,58,35.29,NA,NA,6.4,8/11/08,5/4/09,7/5/11,ffl,7/20/08,1,2,NA,NA,7/14/09,talek,NA,12,-0.375,Q1 (lowest),1,med,twin,15.1,2008,2009,old,NA,NA,NA,NA,-1.079630664,-1.059278632,0.814155174,-0.20560929,0.091118808,7,5,17,17,11,2.74375
167,kryp,subadult,1,77.39102336,77.40341592,805,10/31/09,m,bado,52,54,56,45.4,NA,NA,7.7,4/13/08,9/16/08,7/22/10,yog,11/1/07,0,NA,NA,NA,8/28/08,talek,NA,14,-0.529411765,Q1 (lowest),1,med,single,24,2007,2009,old,NA,NA,NA,NA,0.242187453,-0.242621581,-0.810547018,1.179264997,-0.17508582,11,17,17,17,20,2.74375
176,lugi,subadult,1,78.21474593,78.20198404,565,12/8/14,f,bado,39,77,77,37.72,NA,NA,NA,3/18/14,NA,NA,cart,8/18/13,1,2,NA,NA,NA,talek,NA,42,-1,Q1 (lowest),1,hi,twin,15.7,2013,2014,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74375
178,lust,subadult,1,75.00948972,75.03764121,676,3/14/13,f,bado,33.2,63,NA,27.36,NA,NA,NA,12/23/11,7/7/12,NA,arg,9/6/11,1,2,NA,NA,6/10/12,talek,NA,28,-0.636363636,Q1 (lowest),1,hi,twin,18.2,2011,2013,old,NA,NA,NA,NA,0.067359012,-0.561353388,-0.104357006,0.409747435,-0.646086534,18,14,16,10,18,6.74375
183,mca,adult,1,77.38377468,77.43056826,294,4/20/01,m,bado,50.78,59,59,37.06,21700,7770000,6.8,5/22/99,12/5/99,12/5/01,gol,4/17/99,1,2,NA,NA,4/13/00,talek,tk,19,-0.636363636,Q1 (lowest),1,low,twin,24.1,1999,2001,old,NA,NA,NA,NA,0.081857587,-0.862030727,0.208636147,-0.386061425,0.166248756,12,12,12,12,12,-5.25625
184,mchl,adult,1,74.90221994,74.79276474,1190,7/16/15,m,NA,55.7,NA,NA,37.11,NA,NA,NA,2/9/13,NA,8/31/16,ele,11/17/12,1,1,NA,NA,10/18/13,serena.n,NA,16,-0.578947368,Q1 (lowest),1,low,twin,31.9,2012,2015,old,NA,NA,NA,NA,NA,NA,NA,NA,-0.585882011,NA,NA,NA,1,2,8.74375
185,mdsn,cub,1,64.18512697,64.0915398,717,9/22/03,m,bado,19.8,76,75,33.1,NA,NA,6.8,1/6/03,9/22/03,12/23/04,nav,11/20/02,1,NA,NA,NA,2/11/04,talek,tk,12,-0.466666667,Q1 (lowest),1,med,NA,10.1,2002,2003,old,NA,NA,NA,NA,-1.392072996,-0.988044436,-0.685890344,-0.682114693,-0.467987788,12,12,9,12,12,-3.25625
187,merl,subadult,1,79.03663998,78.98559243,533,8/4/14,f,bado,39.6,72,65,59.5,NA,NA,NA,8/23/13,NA,NA,hex,7/21/13,1,NA,NA,NA,NA,talek,tk,37,-0.75,Q1 (lowest),1,hi,NA,12.5,2013,2014,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74375
193,mnr,cub,1,74.64124219,74.59167194,718,10/4/03,m,NA,NA,NA,NA,NA,NA,NA,NA,1/6/03,10/2/03,11/2/08,nav,11/20/02,1,NA,NA,NA,2/10/04,talek,tk,12,-0.466666667,Q1 (lowest),1,med,NA,10.4,2002,2003,old,NA,NA,NA,NA,-1.392072996,-0.988044436,-0.685890344,-0.682114693,-0.467987788,12,12,9,12,12,-3.25625
194,moil,cub,1,77.41347975,77.40972622,365,9/27/02,m,bado,29.2,66,67,33.6,NA,NA,6.3,1/8/02,9/10/02,1/15/03,bail,11/10/01,NA,NA,NA,NA,11/30/02,talek,tk,15,-0.647058824,Q1 (lowest),1,med,NA,10.5,2001,2002,old,NA,NA,NA,NA,0.119608593,-0.338188614,-0.32987609,-0.285535875,1.459066277,12,12,8,12,12,-4.25625
195,mojo,cub,1,72.74949991,72.70910195,310,7/28/00,m,bado,19.5,69,71,32.4,58550,7580000,7,12/9/99,7/27/00,11/17/03,bail,11/17/99,1,2,NA,NA,8/28/00,talek,tk,17,-0.454545455,Q1 (lowest),1,low,twin,8.3,1999,2000,old,NA,NA,NA,NA,-0.294831799,1.160957949,-0.748892501,-0.883718131,0.849174166,12,12,12,12,12,-6.25625
205,neon,subadult,1,77.06609372,77.0862927,652,6/15/12,f,bado,32.4,72,81,27.685,NA,NA,6.9,4/27/11,11/18/11,NA,yog,12/26/10,0,NA,NA,NA,12/5/11,talek,NA,22,-0.555555556,Q1 (lowest),1,hi,single,17.6,2010,2012,old,NA,NA,NA,NA,-0.826956849,-0.002102464,-0.403682336,0.344866109,0.926051323,15,14,6,18,15,5.74375
212,obam,adult,1,77.48070461,77.49837872,808,6/7/12,f,unknown,49.2,62,62,41.08,NA,NA,7.6,12/7/08,7/16/09,4/12/14,nav,11/13/08,1,2,poison (april 2014 incident),4/12/14,NA,talek,NA,15,-0.75,Q1 (lowest),1,med,twin,42.8,2008,2012,old,39,-0.853658537,Q2,2,-1.568517916,-0.18367744,-1.005847579,0.350343463,-0.262469522,2,11,8,16,15,5.74375
213,obam,subadult,1,78.5936883,78.57524903,808,11/15/09,f,bado,34.2,66,70,36.91,NA,NA,6.2,12/7/08,7/16/09,4/12/14,nav,11/13/08,1,2,poison (april 2014 incident),4/12/14,NA,talek,NA,15,-0.75,Q1 (lowest),1,med,twin,12.1,2008,2009,old,NA,NA,NA,NA,-1.568517916,-0.18367744,-1.005847579,0.350343463,-0.262469522,2,11,8,16,15,2.74375
220,opa,subadult,1,73.79088238,73.79816866,233,12/9/98,m,bado,26,NA,NA,NA,NA,NA,NA,12/15/97,10/21/98,5/26/99,gol,11/12/97,1,2,NA,NA,1/23/99,talek,tk,24,-0.84,Q1 (lowest),1,low,twin,12.9,1997,1998,old,NA,NA,NA,NA,-0.195694375,-0.36526594,-0.178749016,-0.427486789,0.876081171,10,12,12,12,12,-8.25625
239,radn,adult,1,77.90164979,77.92437364,608,6/5/12,m,ok,38.2,64,63,35.215,NA,NA,6.3,4/6/10,10/9/10,11/4/12,yog,1/13/10,1,2,NA,NA,9/9/10,talek,tk,22,-0.555555556,Q1 (lowest),1,hi,twin,28.7,2010,2012,old,NA,NA,NA,NA,1.677006554,1.201543308,0.095276894,-0.512362757,-0.838772229,17,17,21,18,13,5.74375
240,rama,subadult,1,73.29846898,73.38304799,1129,7/7/14,f,bado,47,NA,NA,NA,NA,NA,NA,5/6/13,9/29/13,NA,tnsl,1/8/13,0,NA,NA,NA,NA,serena.n,NA,14,-0.444444444,Q1 (lowest),1,low,single,17.9,2013,2014,old,NA,NA,NA,NA,NA,NA,NA,NA,-0.585882011,NA,NA,NA,NA,3,7.74375
247,roos,adult,1,76.16641202,76.16583912,363,6/7/13,f,lactating,53.8,64,48,38.26,NA,NA,NA,10/13/07,NA,NA,nav,3/2/07,NA,NA,NA,NA,7/24/08,talek,NA,15,-0.647058824,Q1 (lowest),1,med,NA,75.2,2007,2013,old,40,-0.9,Q2,2,0.611278732,0.177113727,0.116049957,-0.288187098,-1.079839512,19,15,22,10,17,6.74375
248,roos,subadult,1,76.59068163,76.56790371,363,10/13/08,f,bado,48.4,72,72,33.3,NA,NA,6.7,10/13/07,NA,NA,nav,3/2/07,NA,NA,NA,NA,7/24/08,talek,NA,15,-0.647058824,Q1 (lowest),1,med,NA,19.4,2007,2008,old,NA,NA,NA,NA,0.611278732,0.177113727,0.116049957,-0.288187098,-1.079839512,19,15,22,10,17,1.74375
249,rslg,subadult,1,77.55989737,77.56553333,711,7/11/03,m,bado,24.4,74,78,31.7,NA,NA,6.3,6/18/02,4/9/03,11/22/03,hml,5/15/02,1,NA,NA,NA,9/8/03,talek,tk,10,-0.5,Q1 (lowest),1,med,NA,13.9,2002,2003,old,NA,NA,NA,NA,-1.000142521,-0.512581741,-0.318662897,-0.051660105,-0.402642204,14,11,14,14,10,-3.25625
250,rub,adult,1,75.19219922,75.09010413,261,12/30/00,m,natal male,48.8,59,60,41.51,10000,6585000,7,12/15/97,10/2/98,9/13/03,gol,11/12/97,1,1,NA,NA,1/22/99,talek,tk,24,-0.84,Q1 (lowest),1,low,twin,37.6,1997,2000,old,NA,NA,NA,NA,-0.195694375,-0.36526594,-0.178749016,-0.427486789,0.876081171,10,12,12,12,12,-6.25625
255,sco,subadult,1,75.36172351,75.41702502,278,10/25/99,m,NA,46.4,62,60,NA,NA,NA,NA,3/23/98,10/14/98,7/24/02,hob,12/15/97,1,NA,NA,NA,1/11/99,talek,tk,23,-0.76,Q1 (lowest),1,low,NA,22.3,1997,1999,old,NA,NA,NA,NA,-0.471440853,2.795491142,-0.013954118,-0.44239992,0.426990447,10,12,12,12,12,-7.25625
257,shb,subadult,1,77.03503287,77.03690964,362,6/2/02,m,bado,25.8,63,54,33.1,NA,NA,6.7,4/21/01,12/5/01,8/24/02,par,3/19/01,NA,NA,NA,NA,NA,talek,tk,10,-1,Q1 (lowest),1,med,NA,14.5,2001,2002,old,NA,NA,NA,NA,0.689977054,-0.212435264,1.446550426,-0.15297471,-0.597910183,12,8,12,12,10,-4.25625
264,sopa,cub,1,74.87956695,74.88807487,552,7/22/14,m,bado,30.8,89,86,36.81,NA,NA,NA,8/15/13,NA,1/15/16,wran,7/21/13,NA,NA,NA,NA,6/7/14,talek,NA,29,-0.4,Q1 (lowest),1,hi,NA,12,2013,2014,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74375
266,sqa,subadult,1,77.00331342,77.01074896,303,6/13/00,f,bado,28,63,57,35.3,10925,6160000,7,6/14/99,1/30/00,1/16/01,bern,5/13/99,1,2,NA,NA,7/8/00,talek,tk,22,-0.909090909,Q1 (lowest),1,low,twin,13,1999,2000,old,NA,NA,NA,NA,-0.230819224,-0.779236596,0.42185419,-0.420858731,-0.409689277,12,12,12,12,12,-6.25625
271,sud,cub,1,76.14254475,76.1012559,334,10/22/01,f,bado,25.6,68,72,31.4,22700,5310000,6.4,1/14/01,7/24/01,10/2/02,cr,12/24/00,1,1,NA,NA,12/28/01,talek,tk,21,NA,Q1 (lowest),NA,med,twin,9.9,2000,2001,old,NA,NA,NA,NA,1.385087969,0.27313409,0.027439861,-0.516855108,-0.812653707,12,12,12,10,12,-5.25625
281,teva,subadult,1,76.15584505,76.19054422,806,11/5/09,m,bado,42.8,49,49,42.95,NA,NA,7.2,7/19/08,1/25/09,1/29/10,hex,4/16/08,0,NA,NA,NA,2/19/09,talek,NA,17,-1,Q1 (lowest),1,med,single,18.7,2008,2009,old,NA,NA,NA,NA,0.885954016,-0.770731538,-0.046986605,0.077199676,-1.001153481,15,9,17,11,17,2.74375
295,van,subadult,1,73.20848957,73.18354232,612,6/3/11,f,bado,33.8,61,72,32.41,NA,NA,6.2,6/4/10,9/29/10,6/20/12,arg,2/26/10,1,1,NA,NA,2/25/11,talek,tk,23,-0.62962963,Q1 (lowest),1,hi,twin,15.2,2010,2011,old,NA,NA,NA,NA,1.640510697,0.323569329,1.429524223,-0.32277925,-1.020862674,17,21,15,21,12,4.74375
