peak,meth
12.43,77.11321021
15.46,74.29121712
14.99,77.19891066
18.4,78.8367381
13.55,73.54680292
11.74,75.85105669
13.79,75.40166074
16.55,77.74637418
5.67,73.45709946
11.03,61.0580326
14.16,74.91886206
14.16,77.23129623
12.32,78.07719766
14.95,76.52469043
18.26,75.90861592
13.09,74.91563976
17.28,46.40251755
15.52,76.42565293
9.44,75.8318327
15.21,76.84791976
16.72,73.11108068
17.66,76.04506084
14.99,77.11798458
17.65,77.31797309
14.29,77.96451075
15.4,76.95100725
19.06,77.67028052
16.89,70.72102091
17.63,75.98288157
12.52,76.35624762
19.55,73.42949979
18.98,76.74513912
13.01,75.74644174
16.42,75.93642512
19.65,76.77626633
18.15,77.10749378
17.36,72.2504747